A-1	A
ALFASONC-2518	Alfason Crelo
ALFASONC-2519	Alfason Creme
ALFASONC-2520	Alfason Cresa
ALFASONC-2521	Alfason Crinale
ALFASONS-2522	Alfason Salbe
ALFATEND-2523	Alfatendor
ALFATEX-2524	Alfatex
ALFATIL-2525	Alfatil
ALFATILL-2526	Alfatil Lp
ALFENTAN-2527	Alfentanil Hameln
ALFENTAN-2528	Alfentanil Hameln Pharma
ALFENTAN-2529	Alfentanil Kalceks
ALFENTAN-2530	Alfentanil Martindale Pharmaceuticals
ALFENTAN-2531	Alfentanil N.A.
ALFENTAN-2532	Alfentanil Piramal
ALFENTAN-2533	Alfentanilo Hameln
ALFENTAN-2534	Alfentanilo Kalceks
ALFETIMS-2535	Alfetim Sr
ALFETIMU-2536	Alfetim Uno
ALFINOR-2537	Alfinor
ALFLUTOP-2538	Alflutop
ALFOXAN-2539	Alfoxan
ALFRESED-2540	Alfresed
ALFU-2541	Alfu
ALFUDEX-2542	Alfudex
ALFURAL-2543	Alfural
ALFURALP-2544	Alfural Pr
ALFURION-2545	Alfurion
ALFUZIN-2546	Alfuzin
ALFUZOSI-2547	Alfuzosin
ALFUZOSI-2548	Alfuzosin 10 1 A Pharma
ALFUZOSI-2549	Alfuzosin 5 1 A Pharma
ALFUZOSI-2550	Alfuzosin Abz
ALFUZOSI-2551	Alfuzosin Al
ALFUZOSI-2552	Alfuzosin Aurobindo
ALFUZOSI-2553	Alfuzosin Hcl Milpharm
ALFUZOSI-2554	Alfuzosin Hcl Ratiopharm® Uno
ALFUZOSI-2555	Alfuzosin Hydrochlorid Ratiopharm
ALFUZOSI-2556	Alfuzosin Hydrochloride Alvogen
ALFUZOSI-2557	Alfuzosin Hydrochloride Orion
ALFUZOSI-2558	Alfuzosin Hydrochloride Teva Uk
ALFUZOSI-2559	Alfuzosin Hydrochloride Zentiva Pharma Uk
ALFUZOSI-2560	Alfuzosin Orion
ALFUZOSI-2561	Alfuzosin Pharmacenter
ALFUZOSI-2562	Alfuzosin Ratiopharm
ALFUZOSI-2563	Alfuzosin Rivopharm
ALFUZOSI-2564	Alfuzosin Sandoz
ALFUZOSI-2565	Alfuzosin Stada
ALFUZOSI-2566	Alfuzosin Teva
ALFUZOSI-2567	Alfuzosin Uno Ratiopharm
ALFUZOSI-2568	Alfuzosin Uno Winthrop
ALFUZOSI-2569	Alfuzosin Viatris
ALFUZOSI-2570	Alfuzosin Winthrop
ALFUZOSI-2571	Alfuzosin Zentiva
ALFUZOSI-2572	Alfuzosina Aurobindo
ALFUZOSI-2573	Alfuzosina Aurovitas
ALFUZOSI-2574	Alfuzosina Ciclum
ALFUZOSI-2575	Alfuzosina Doc Generici
ALFUZOSI-2576	Alfuzosina Eg
ALFUZOSI-2577	Alfuzosina Generis
ALFUZOSI-2578	Alfuzosina Mepha
ALFUZOSI-2579	Alfuzosina Mylan Generics
ALFUZOSI-2580	Alfuzosina Pensa
ALFUZOSI-2581	Alfuzosina Ratiopharm
ALFUZOSI-2582	Alfuzosina Sandoz
ALFUZOSI-2583	Alfuzosina Stada
ALFUZOSI-2584	Alfuzosina Teva
ALFUZOSI-2585	Alfuzosina Teva-Ratiopharm
ALFUZOSI-2586	Alfuzosina Viatris
ALFUZOSI-2587	Alfuzosina Zentiva
ALFUZOSI-2588	Alfuzosine
ALFUZOSI-2589	Alfuzosine Hcl Aurobindo
ALFUZOSI-2590	Alfuzosine Hcl Cf
ALFUZOSI-2591	Alfuzosine Hcl Sandoz
ALFUZOSI-2592	Alfuzosine Hcl Sun
ALFUZOSI-2593	Alfuzosine Hcl Viatris
ALFUZOSI-2594	Alfuzosine L.P Eg
ALFUZOSI-2595	Alfuzosine L.P. Biogaran
ALFUZOSI-2596	Alfuzosine L.P. Sandoz
ALFUZOSI-2597	Alfuzosine Lp Arrow
ALFUZOSI-2598	Alfuzosine Lp Cristers
ALFUZOSI-2599	Alfuzosine Lp Evolugen
ALFUZOSI-2600	Alfuzosine Lp Zentiva
ALFUZOSI-2601	Alfuzosine Sandoz
ALFUZOSI-2602	Alfuzosine Viatris
ALFUZOSI-2603	Alfuzosine Zydus
ALFUZOSI-2604	Alfuzosinehydrochloride Pch Pharmachemie B.V.
ALFUZOSI-2605	Alfuzosinehydrochloride Pharmachemie B.V.
ALFUZOST-2606	Alfuzostad
ALGANEX-2607	Alganex
ALGECIA-2608	Algecia
ALGESAL-2609	Algesal
ALGESALA-2610	Algesal Activado Antirreumática Analgésica
ALGESALB-2611	Algesal Baume
ALGESALS-2612	Algesal Suractive
ALGHEDON-2613	Alghedon
ALGIDOL-2614	Algidol
ALGIDRIN-2615	Algidrin
ALGIDRIN-2616	Algidrin Bambini
ALGIDRIN-2617	Algidrin Infantil
ALGIDRIN-2618	Algidrin Pediatric
ALGIDRIN-2619	Algidrin Pediátrico
ALGIFAST-2620	Algifast
ALGIFEN-2621	Algifen
ALGIFENN-2622	Algifen Neo
ALGIK-2623	Algik
ALGIKGRI-2624	Algik Gripe
ALGIKNOI-2625	Algik Noite
ALGIMABO-2626	Algi-Mabo
ALGIMATE-2627	Algimate
ALGINBAB-2628	Algin Baby
ALGINA-2629	Algina
ALGINATE-2630	Alginate De Sodium / Bicarbonate De Sodium Frilab
ALGINATE-2631	Alginate De Sodium / Bicarbonate De Sodium Unither
ALGINATE-2632	Alginate De Sodium/Bicarbonate De Sodium Arrow Lab
ALGINATE-2633	Alginate De Sodium/Bicarbonate De Sodium Bgr
ALGINATE-2634	Alginate De Sodium/Bicarbonate De Sodium Cristers
ALGINATE-2635	Alginate De Sodium/Bicarbonate De Sodium Édulcorée À La Saccharine Sodique Biogaran Conseil
ALGINATE-2636	Alginate De Sodium/Bicarbonate De Sodium Eg
ALGINATE-2637	Alginate De Sodium/Bicarbonate De Sodium Eg Labo Conseil
ALGINATE-2638	Alginate De Sodium/Bicarbonate De Sodium Sandoz
ALGINATE-2639	Alginate De Sodium/Bicarbonate De Sodium Sans Sucre Édulcoré À La Saccharine Sodique Arrow Conseil
ALGINATE-2640	Alginate De Sodium/Bicarbonate De Sodium Viatris
ALGINATE-2641	Alginate De Sodium/Bicarbonate De Sodium Zentiva
ALGINATE-2642	Alginate Pinewood Laboratories
ALGINE-2643	Algine
ALGIOTOP-2644	Algiotop
ALGIPANB-2645	Algipan Balsam
ALGIPANB-2646	Algipan Balsem
ALGIPANB-2647	Algipan Baume
ALGIRIN-2648	Algirin
ALGIRINP-2649	Algirin Plus
ALGISSPR-2650	Algis-Spray
ALGIX-2651	Algix
ALGOCALM-2652	Algocalm
ALGOCALM-2653	Algocalmin
ALGOCIT-2654	Algocit
ALGOCOD-2655	Algocod
ALGOFEN-2656	Algofen
ALGOFEND-2657	Algofen Duofast
ALGOFINA-2658	Algofina
ALGOFLEX-2659	Algoflex Baby
ALGOFLEX-2660	Algoflex Duo
ALGOFLEX-2661	Algoflex Forte Dolo
ALGOFLEX-2662	Algoflex Izom+ízület
ALGOFLEX-2663	Algoflex Rapid
ALGOFLEX-2664	Algoflex Rapid Mini
ALGOFLEX-2665	Algoflex Ultra Forte
ALGOFLEX-2666	Algoflex-M
ALGOFREN-2667	Algofren
ALGOFREN-2668	Algofren Compositum
ALGOFREN-2669	Algofrenelle
ALGOGESI-2670	Algogesic
ALGOLIDE-2671	Algolider
ALGOMINA-2672	Algominal
ALGON-2673	Algon
ALGONAD-2674	Algonad
ALGOPIRI-2675	Algopirina
ALGOPIRI-2676	Algopirina Febbre E Dolore Bambini Gusto Arancia Senza Zucchero
ALGOPIRI-2677	Algopirina Febbre E Dolore Bambini Gusto Fragola
ALGOPIRI-2678	Algopirina Febbre E Dolore, Gusto Arancia
ALGOPIRI-2679	Algopirindol
ALGOPLAS-2680	Algoplast
ALGOPRAL-2681	Algoprall
ALGOPRES-2682	Algopress
ALGOPYRI-2683	Algopyrin
ALGOPYRI-2684	Algopyrin Trio
ALGOSTAS-2685	Algostase
ALGOSTAS-2686	Algostase Mono
ALGOSTOP-2687	Algostop
ALGOTRA-2688	Algotra
ALGOVIL-2689	Algovil
ALGOZONE-2690	Algozone
ALHEMO-2691	Alhemo
ALIANE-2692	Aliane
ALIFLUS-2693	Aliflus
ALIFLUSD-2694	Aliflus Diskus
ALIFLUSI-2695	Aliflusin
ALIKRES-2696	Alikres
ALIKVAL-2697	Alikval
ALIKVALD-2698	Alikval Duo
ALIMAX-2699	Alimax
ALIMEMAZ-2700	Alimemazin Evolan
ALIMEMAZ-2701	Alimemazin Orifarm
ALIMEMAZ-2702	Alimemazine Tartrate
ALIMEMAZ-2703	Alimemazine Tartrate Mercury Pharmaceuticals
ALIMEMAZ-2704	Alimemazine Tartrate Mercury Pharmaceuticals Ltd
ALIMEMAZ-2705	Alimemazine Tartrate Rosemont Pharmacetucals
ALIMEMAZ-2706	Alimemazine Tartrate Rosemont Pharmaceuticals
ALIMEMAZ-2707	Alimemazine Tartrate Sugar-Free Noumed Life Sciences
ALIMEMAZ-2708	Alimemazine Tartrate Zentiva
ALIMEMAZ-2709	Alimemazine Tartrate Zentiva Pharma
ALIMEMAZ-2710	Alimemazine Thame
ALIMTA-2711	Alimta
ALINDOR-2712	Alindor
ALIPALMT-2713	Alipalmtin
ALIPZA-2714	Alipza
ALISMA-2715	Alisma
ALITRECA-2716	Alitrecare
ALITREDE-2717	Alitrederm
ALITRETA-2718	Alitretan
ALITRETI-2719	Alitretinoin Ennogen Healthcare
ALITRETI-2720	Alitretinoin Ennogen Ip
ALITRETI-2721	Alitretinoin Orifarm
ALITRETI-2722	Alitretinoína Cantabria
ALITRETI-2723	Alitretinoína Ifc
ALITRETI-2724	Alitretinoïne Ifc
ALIVIO-2725	Alivio
ALIVIOSI-2726	Aliviosin
ALIZEM-2727	Alizem
ALKALUTA-2728	Alk (Alutard Sq)
ALKAQUAG-2729	Alk (Aquagen Sq)
ALKSOLUP-2730	Alk (Soluprick)
ALKPRICK-2731	Alk Prick Negativ Kontrolle
ALKPRICK-2732	Alk Prick Positiv Kontrolle
ALKSOLUP-2733	Alk Soluprick Negativ Kontrol
ALKSOLUP-2734	Alk Soluprick Positiv Kontrol
ALKASELT-2735	Alka – Seltzer
ALKASELT-2736	Alka Seltzer
ALKACIT-2737	Alkacit
ALKACITR-2738	Alkacitrat
ALKAEFFE-2739	Alkaeffer
ALKAGIN-2740	Alkagin
ALKALAN-2741	Alkala N
ALKALAT-2742	Alkala T
ALKALIGE-2743	Alkaligen
ALKAPIDA-2744	Alkapidan
ALKASELT-2745	Alka-Seltzer
ALKASELT-2746	Alka-Seltzer Classic
ALKASELT-2747	Alka-Seltzer Original
ALKASELT-2748	Alka-Seltzer Xs
ALKCEMA-2749	Alkcema
ALKDEPOT-2750	Alk-Depot Sq
ALKDEPOT-2751	Alk-Depot Sq 802
ALKDILUE-2752	Alk-Diluent
ALKERAN-2753	Alkeran
ALKINDI-2754	Alkindi
ALKLYOPH-2755	Alk-Lyophilisiert Sq
ALKOHOLP-2756	Alkohol Pharmamagist
ALKOHOLK-2757	Alkohol-Konzentrat Braun
ALKPRICK-2758	Alk-Prick N
ALKPRICK-2759	Alk-Prick Negativ-Kontrolle
ALKPRICK-2760	Alk-Prick Positiv-Kontrolle
ALKPRICK-2761	Alk-Prick Sq
ALKPRICK-2762	Alk-Prick Sq Insektengifte
ALKSEBOR-2763	Alksebor
ALLINONE-2764	All In One Max Strength Cold & Flu Capsules
ALLACAN-2765	Allacan
ALL-2766	Allé
ALLEFORT-2767	Alle Forte
ALLEFIN-2768	Allefin
ALLEFINA-2769	Allefin Allergy
ALLEGODI-2770	Allegodil
ALLEGRA-2771	Allegra
ALLEGRAA-2772	Allegra Allergietabletten
ALLEGRAA-2773	Allegra Allergietabletten Kinder
ALLEGRAF-2774	Allegra Fexotabs
ALLEGRAF-2775	Allegra Forte
ALLEGRAH-2776	Allegra Hives
ALLEGRAJ-2777	Allegra Junior
ALLEGRAT-2778	Allegra Tab
ALLEGRAT-2779	Allegra Telfast
ALLEGRAT-2780	Allegra Telfast 180
ALLEGRO-2781	Allegro
ALLEMAX-2782	Allemax
ALLENDA-2783	Allenda
ALLEOPTI-2784	Alleopti Allergy
ALLEOPTI-2785	Alleopti Hayfever
ALLERCRO-2786	Allercrom
ALLERDUO-2787	Allerduo
ALLERFRE-2788	Allerfre
ALLERGAB-2789	Allerg-Abak
ALLERGAN-2790	Allergan
ALLERGIE-2791	Allergie Augentropfen
ALLERGIE-2792	Allergie-Injektopas Homöopathisches Arzneimittel
ALLERGIE-2793	Allergieneusspray Natriumcromoglicaat Etos
ALLERGIE-2794	Allergieoogdruppels Natriumcromoglicaat Etos
ALLERGIE-2795	Allergietabletten Cetirizine Dihcl Htp
ALLERGIF-2796	Allergiflash
ALLERGOA-2797	Allergo-Azelind
ALLERGOC-2798	Allergocomod
ALLERGOC-2799	Allergo-Comod
ALLERGOC-2800	Allergocrom
ALLERGOD-2801	Allergodil
ALLERGOD-2802	Allergodil Akut
ALLERGOD-2803	Allergodil Akut Duo
ALLERGOD-2804	Allergodil Akut Forte
ALLERGOD-2805	Allergodil Augentropfen
ALLERGOD-2806	Allergodil Forte
ALLERGOD-2807	Allergodil Kombipackung
ALLERGOD-2808	Allergodil Nasenspray
ALLERGOD-2809	Allergodil Nevel
ALLERGOD-2810	Allergodil Od
ALLERGOD-2811	Allergodil Sprint
ALLERGOD-2812	Allergo-Duolind
ALLERGOK-2813	Allergokatt
ALLERGOL-2814	Allergologes
ALLERGOM-2815	Allergo-Momelind
ALLERGON-2816	Allergon
ALLERGON-2817	Allergone
ALLERGOS-2818	Allergosan
ALLERGOS-2819	Allergospasmin N
ALLERGOS-2820	Allergospray
ALLERGOT-2821	Allergotin
ALLERGOT-2822	Allergotin Plus
ALLERGOV-2823	Allergoval
ALLERGOV-2824	Allergo-Vision Sine
ALLERGOV-2825	Allergovit
ALLERGOV-2826	Allergovit Beh Birke + Erle + Hasel
ALLERGOV-2827	Allergovit Beifuß
ALLERGOV-2828	Allergovit Bi Birke
ALLERGOV-2829	Allergovit Erle
ALLERGOV-2830	Allergovit Erle + Hasel
ALLERGOV-2831	Allergovit G Gräser
ALLERGOV-2832	Allergovit Gg Graeser/Getreide
ALLERGOV-2833	Allergovit Glaskraut
ALLERGOV-2834	Allergovit Gr Graeser 60% + Roggen 40%
ALLERGOV-2835	Allergovit Graeser + Beifuß + Roggen
ALLERGOV-2836	Allergovit Graeser + Birke + Roggen
ALLERGOV-2837	Allergovit Graeser + Roggen + Wegerich
ALLERGOV-2838	Allergovit Graeser 80% + Roggen 20%
ALLERGOV-2839	Allergovit Graeser/Getreide + Beifuß
ALLERGOV-2840	Allergovit Graeser/Getreide + Birke
ALLERGOV-2841	Allergovit Graeser/Getreide + Wegerich
ALLERGOV-2842	Allergovit Gräser+ Beifuß + Roggen + Wegerich
ALLERGOV-2843	Allergovit Gräser+ Birke + Roggen + Wegerich
ALLERGOV-2844	Allergovit Hasel
ALLERGOV-2845	Allergovit Roggen
ALLERGOV-2846	Allergovit Wegerich
ALLERGYA-2847	Allergy And Hayfever Relief
ALLERGYR-2848	Allergy Relief
ALLERIEF-2849	Allerief
ALLERNON-2850	Allernon
ALLERTEC-2851	Allertec
ALLERTEC-2852	Allertec Effect
ALLERTEC-2853	Allertec Fexo
ALLERTEC-2854	Allertec Foxill
ALLERTEC-2855	Allertec Kids
ALLERTEK-2856	Allertek
ALLERVI-2857	Allervi
ALLESPRA-2858	Allespray
ALLESTIN-2859	Allestin
ALLEVIA-2860	Allevia
ALLEVIAH-2861	Allevia Hives
ALLGUERL-2862	Allgäuer Latschenkiefer Franzbranntwein
ALLGUERL-2863	Allgäuer Latschenkiefer Hornhaut Schälsalbe Vaselin Zur Anwendung Bei Erwachsenen Und Kindern Ab 1 Jahr
ALLGIL-2864	Allgil
ALLGRAM-2865	Allgram
ALLI-2866	Alli
ALLIOFIL-2867	Alliofil
ALLIOMIN-2868	Alliomint
ALLIUMCE-2869	Allium Cepa D4 Deutsche Homöopathie-Union Dhu-Arzneimittel
ALLMET-2870	Allmet
ALLOBETA-2871	Allobeta
ALLOCHOL-2872	Allochol
ALLONOL-2873	Allonol
ALLOPUR-2874	Allopur
ALLOPURI-2875	Allopurinol
ALLOPURI-2876	Allopurinol !Stada
ALLOPURI-2877	Allopurinol +pharma
ALLOPURI-2878	Allopurinol Ab
ALLOPURI-2879	Allopurinol Abz
ALLOPURI-2880	Allopurinol Accord
ALLOPURI-2881	Allopurinol Accord Healthcare
ALLOPURI-2882	Allopurinol Accord Healthcare Ireland
ALLOPURI-2883	Allopurinol Al
ALLOPURI-2884	Allopurinol Amarox
ALLOPURI-2885	Allopurinol Aristo
ALLOPURI-2886	Allopurinol Arrow
ALLOPURI-2887	Allopurinol Arrow Lab
ALLOPURI-2888	Allopurinol Aspire Pharma
ALLOPURI-2889	Allopurinol Aurobindo
ALLOPURI-2890	Allopurinol Aurovitas
ALLOPURI-2891	Allopurinol Auxilia
ALLOPURI-2892	Allopurinol Biogaran
ALLOPURI-2893	Allopurinol Bristol Laboratories
ALLOPURI-2894	Allopurinol Cf
ALLOPURI-2895	Allopurinol Chelonia Healthcare
ALLOPURI-2896	Allopurinol Clonmel
ALLOPURI-2897	Allopurinol Crescent Pharma
ALLOPURI-2898	Allopurinol Crescent Pharma International
ALLOPURI-2899	Allopurinol Cristers
ALLOPURI-2900	Allopurinol Eg
ALLOPURI-2901	Allopurinol Ennogen Pharma
ALLOPURI-2902	Allopurinol Eql Pharma
ALLOPURI-2903	Allopurinol Eurogenerics
ALLOPURI-2904	Allopurinol Flamingo Pharma (Uk)
ALLOPURI-2905	Allopurinol G.L.
ALLOPURI-2906	Allopurinol Genericon
ALLOPURI-2907	Allopurinol Genethics Europe
ALLOPURI-2908	Allopurinol Heumann
ALLOPURI-2909	Allopurinol Hexal
ALLOPURI-2910	Allopurinol Indoco
ALLOPURI-2911	Allopurinol Ipca
ALLOPURI-2912	Allopurinol Ipca Laboratories Uk
ALLOPURI-2913	Allopurinol Manx Healthcare Limited
ALLOPURI-2914	Allopurinol Medical Valley
ALLOPURI-2915	Allopurinol Medreg
ALLOPURI-2916	Allopurinol Milpharm
ALLOPURI-2917	Allopurinol Nordic Drugs
ALLOPURI-2918	Allopurinol Orifarm
ALLOPURI-2919	Allopurinol Orion
ALLOPURI-2920	Allopurinol Pch
ALLOPURI-2921	Allopurinol Puren
ALLOPURI-2922	Allopurinol Ratiopharm
ALLOPURI-2923	Allopurinol Relonchem
ALLOPURI-2924	Allopurinol Retard Genericon
ALLOPURI-2925	Allopurinol Rosemont Pharmaceuticals
ALLOPURI-2926	Allopurinol Sandoz
ALLOPURI-2927	Allopurinol Sanus
ALLOPURI-2928	Allopurinol Special Concept Development (Uk)
ALLOPURI-2929	Allopurinol Stada
ALLOPURI-2930	Allopurinol Strides Pharma Uk
ALLOPURI-2931	Allopurinol Teva
ALLOPURI-2932	Allopurinol Teva Italia
ALLOPURI-2933	Allopurinol Teva Uk
ALLOPURI-2934	Allopurinol Tillomed Laboratories
ALLOPURI-2935	Allopurinol Viatris
ALLOPURI-2936	Allopurinol Waymade
ALLOPURI-2937	Allopurinol Xiromed
ALLOPURI-2938	Allopurinol Zentiva
ALLOPURI-2939	Allopurinolo Accord
ALLOPURI-2940	Allopurinolo Adulti Doc Generici
ALLOPURI-2941	Allopurinolo Doc Generici
ALLOPURI-2942	Allopurinolo Molteni
ALLOPURI-2943	Allopurinolo Mylan
ALLOPURI-2944	Allopurinolo Sandoz
ALLOPURI-2945	Allopurinolo Teva Italia
ALLORIN-2946	Allorin
ALLOSPES-2947	Allospes
ALLOSTAD-2948	Allostad
ALLTREVO-2949	Alltrevo
ALLUNA-2950	Alluna
ALLUNASC-2951	Alluna Schlaf
ALLUPOL-2952	Allupol
ALLURIT-2953	Allurit
ALLUZIEN-2954	Alluzience
ALMACIN-2955	Almacin
ALMACOR-2956	Almacor
ALMACORD-2957	Almacor Duo
ALMAGATO-2958	Almagato Stadapharm
ALMAGELA-2959	Almagel A
ALMAGELS-2960	Almagels A
ALMARYTM-2961	Almarytm
ALMAX-2962	Almax
ALMAXFOR-2963	Almax Forte
ALMEIDA-2964	Almeida
ALMERTAN-2965	Almertan
ALMERZAC-2966	Almerzac
ALMIDIS-2967	Almidis
ALMIGSTR-2968	Almigástrico
ALMIGRIP-2969	Almigripe
ALMINOX-2970	Alminox
ALMIRAL-2971	Almiral
ALMIRALF-2972	Almiral Forte
ALMIRINC-2973	Almirincomb 4 Mg/10 Mg
ALMIRINC-2974	Almirincomb 4 Mg/5 Mg
ALMIRINC-2975	Almirincomb 8 Mg/10 Mg
ALMIRINC-2976	Almirincomb 8 Mg/5 Mg
ALMOGRAN-2977	Almogran
ALMOTREX-2978	Almotrex
ALMOTRIP-2979	Almotriptan Accord-Uk
ALMOTRIP-2980	Almotriptan Arrow
ALMOTRIP-2981	Almotriptan Aurobindo
ALMOTRIP-2982	Almotriptan Bei Migräne Heumann
ALMOTRIP-2983	Almotriptan Biogaran
ALMOTRIP-2984	Almotriptan Chanelle Medical
ALMOTRIP-2985	Almotriptán Cinfa
ALMOTRIP-2986	Almotriptan Clydesdale Pharma
ALMOTRIP-2987	Almotriptán Combix
ALMOTRIP-2988	Almotriptan Doc Generici
ALMOTRIP-2989	Almotriptan Eg
ALMOTRIP-2990	Almotriptán Kern Pharma
ALMOTRIP-2991	Almotriptan Mylan
ALMOTRIP-2992	Almotriptán Normon
ALMOTRIP-2993	Almotriptan Orifarm
ALMOTRIP-2994	Almotriptán Qualix
ALMOTRIP-2995	Almotriptan Qualix Pharma
ALMOTRIP-2996	Almotriptan Sandoz
ALMOTRIP-2997	Almotriptán Stada
ALMOTRIP-2998	Almotriptan Teva
ALMOTRIP-2999	Almotriptan Teva Italia
ALMOTRIP-3000	Almotriptan Viatris
